선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
렉스,롯데,55,234,203,50,4,20,30,28,54,0,0.313,0.246,0.338,0.345,0.683,0.319,0.12
오태곤,SSG,123,305,272,65,7,37,28,18,67,20,0.289,0.239,0.293,0.375,0.668,0.303,0.12
안치영,KT,76,136,124,36,0,20,9,6,35,7,0.400,0.290,0.331,0.331,0.662,0.309,0.11
이지영,Hero,81,237,217,54,0,23,8,12,39,1,0.303,0.249,0.291,0.295,0.586,0.276,0.11
손성빈,롯데,45,80,76,20,1,13,15,2,10,0,0.292,0.263,0.282,0.342,0.624,0.283,0.1
박경수,KT,107,221,185,37,1,12,12,30,46,0,0.261,0.200,0.315,0.286,0.601,0.294,0.1
안중열,NC,77,177,154,30,4,15,17,16,45,0,0.243,0.195,0.276,0.312,0.588,0.275,0.09
정준영,KT,34,55,48,14,0,6,6,3,11,0,0.378,0.292,0.333,0.333,0.666,0.312,0.06
홍성호,두산,21,51,48,14,0,6,5,2,14,0,0.412,0.292,0.333,0.375,0.708,0.328,0.06
김규성,KIA,99,177,158,37,2,29,11,13,43,6,0.310,0.234,0.297,0.323,0.620,0.29,0.06
안익훈,LG,11,23,22,7,0,1,2,0,2,0,0.350,0.318,0.348,0.364,0.712,0.33,0.05
박유연,두산,10,16,15,4,0,3,1,0,4,0,0.364,0.267,0.267,0.400,0.667,0.297,0.05
안주형,삼성,53,91,79,19,1,12,10,10,20,0,0.305,0.241,0.322,0.304,0.626,0.299,0.05
김강민,SSG,70,166,137,31,2,20,7,23,38,2,0.290,0.226,0.335,0.292,0.627,0.303,0.05
김주성,LG,11,7,5,1,0,1,0,1,2,0,0.333,0.200,0.429,0.200,0.629,0.353,0.05
문상인,KT,1,1,0,0,0,0,0,1,0,0,,,1.0,,,0.775,0.05
이재용,한화,2,2,2,1,0,1,0,0,1,0,1.000,0.500,0.5,0.500,1.000,0.457,0.03
이형종,Hero,99,374,316,68,3,35,37,39,78,0,0.274,0.215,0.326,0.320,0.646,0.31,0.03
김정민,SSG,8,2,2,1,0,1,0,0,1,0,1.000,0.500,0.5,0.500,1.000,0.457,0.02
최준우,SSG,38,69,60,16,0,5,6,8,10,0,0.314,0.267,0.348,0.283,0.631,0.308,0.02
강진성,SSG,55,142,131,34,3,10,17,6,20,0,0.284,0.260,0.305,0.389,0.694,0.315,0.02
이해승,삼성,9,4,4,1,0,0,0,0,1,0,0.333,0.250,0.25,0.500,0.750,0.329,0.02
국해성,롯데,6,10,8,2,0,0,1,2,3,0,0.400,0.250,0.4,0.250,0.650,0.338,0.02
이민준,한화,4,2,1,0,0,0,0,1,0,0,0.000,0.000,0.5,0.000,0.500,0.387,0.02
이학주,롯데,104,122,110,23,3,22,13,11,31,4,0.263,0.209,0.287,0.309,0.596,0.28,0.01
박정우,KIA,21,12,9,3,0,2,0,0,1,0,0.375,0.333,0.333,0.333,0.666,0.305,0.0
장운호,한화,4,11,9,2,0,1,1,2,2,0,0.286,0.222,0.364,0.222,0.586,0.307,0.0
안승한,두산,22,27,24,5,0,1,1,2,10,1,0.357,0.208,0.296,0.208,0.504,0.256,0.0
송재선,Hero,5,3,3,1,0,0,0,0,1,0,0.500,0.333,0.333,0.333,0.666,0.305,-0.01
최보성,NC,12,21,19,5,0,2,0,2,2,0,0.294,0.263,0.333,0.263,0.596,0.291,-0.01
김찬형,SSG,36,53,48,11,1,6,5,2,10,0,0.270,0.229,0.275,0.354,0.629,0.287,-0.01
홍종표,KIA,39,12,7,0,0,10,0,3,1,0,0.000,0.000,0.364,0.000,0.364,0.283,-0.01
김태군,KIA,65,203,186,48,0,17,24,5,19,2,0.282,0.258,0.288,0.290,0.578,0.269,-0.02
박민석,KT,4,4,4,1,0,1,0,0,3,0,1.000,0.250,0.25,0.250,0.500,0.228,-0.02
안상현,SSG,58,66,58,14,0,10,2,5,15,3,0.326,0.241,0.302,0.293,0.595,0.284,-0.02
김민수(타),롯데,25,51,43,9,0,4,2,7,17,0,0.346,0.209,0.32,0.279,0.599,0.298,-0.02
김동엽,삼성,69,182,165,42,5,20,18,13,29,1,0.278,0.255,0.313,0.388,0.701,0.318,-0.03
윤수녕,롯데,3,4,4,1,0,0,1,0,1,0,0.333,0.250,0.25,0.250,0.500,0.228,-0.03
노수광,한화,30,94,77,17,0,6,4,13,27,2,0.327,0.221,0.326,0.286,0.612,0.3,-0.03
김도환,삼성,9,8,7,1,0,0,0,1,0,0,0.143,0.143,0.25,0.143,0.393,0.211,-0.03
김민수,삼성,2,1,1,0,0,0,0,0,1,0,,0.000,0.0,0.000,0.000,0.0,-0.03
전준호,LG,2,1,1,0,0,0,1,0,0,0,0.000,0.000,0.0,0.000,0.000,0.0,-0.03
이상민(타),삼성,1,1,1,0,0,0,0,0,0,0,0.000,0.000,0.0,0.000,0.000,0.0,-0.03
윤도현,KIA,1,1,1,0,0,0,0,0,1,0,,0.000,0.0,0.000,0.000,0.0,-0.03
전사민(타),NC,1,1,1,0,0,0,0,0,0,0,0.000,0.000,0.0,0.000,0.000,0.0,-0.03
박형준,롯데,1,1,1,0,0,0,0,0,1,0,,0.000,0.0,0.000,0.000,0.0,-0.03
조용호,KT,63,184,161,40,0,20,7,23,25,4,0.294,0.248,0.342,0.261,0.603,0.3,-0.04
강민성,KT,12,27,22,4,0,2,0,4,10,0,0.333,0.182,0.308,0.227,0.535,0.275,-0.04
조현진,NC,10,5,5,1,0,0,0,0,1,0,0.250,0.200,0.2,0.200,0.400,0.183,-0.05
문상준,KT,2,5,5,1,0,1,0,0,4,0,1.000,0.200,0.2,0.200,0.400,0.183,-0.05
이원석,한화,81,138,116,22,0,20,8,21,33,13,0.265,0.190,0.319,0.216,0.535,0.278,-0.05
류효승,SSG,3,4,3,0,0,0,0,0,0,0,0.000,0.000,0.25,0.000,0.250,0.196,-0.05
정주현,LG,89,101,88,24,1,17,12,9,16,1,0.319,0.273,0.337,0.330,0.667,0.314,-0.06
이태훈,삼성,12,14,13,3,0,1,0,1,7,0,0.500,0.231,0.286,0.308,0.594,0.28,-0.06
