"player_id","playerName","teamName","G","TPA","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","K","SB","BBK","BABIP","AVG","OBP","SLG","OPS","RC","RC27","wRC","wOBA","oWAR"
1287,"문상철","KT",53,106,96,21,13,6,0,2,14,16,8,0,33,2,0.242,0.311,0.219,0.292,0.344,0.636,10.37,3.684079,8.82,0.294,-0.26
950,"이창진","KIA",105,293,249,52,40,8,1,3,35,33,36,0,54,5,0.667,0.251,0.209,0.308,0.285,0.593,23.6,2.97757,22.38,0.287,-0.26
831,"강진성","NC",124,462,406,101,74,20,0,7,49,38,36,2,68,9,0.529,0.282,0.249,0.33,0.35,0.68,47.87,3.964693,47.73,0.316,-0.27
657,"김재호","두산",89,251,211,44,35,8,0,1,23,24,29,0,34,1,0.853,0.24,0.209,0.306,0.261,0.567,18.42,2.702935,17.24,0.278,-0.27
1328,"강태율","롯데",19,31,26,2,0,1,0,1,1,5,4,0,10,0,0.4,0.063,0.077,0.194,0.231,0.425,1.01,1.01,0.02,0.204,-0.27
1862,"프레이타스","Hero",43,148,139,36,24,10,0,2,13,14,7,0,29,0,0.241,0.312,0.259,0.297,0.374,0.671,13.69,3.33,13.42,0.303,-0.28
1790,"김호은","LG",7,9,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-1.67,0,-0.28
1768,"김현민","한화",5,12,12,1,1,0,0,0,0,0,0,0,4,0,0,0.125,0.083,0.083,0.083,0.166,0.08,0.196364,-1.39,0.077,-0.29
1708,"최승민","NC",48,34,31,7,6,1,0,0,8,1,1,0,7,4,0.143,0.292,0.226,0.25,0.258,0.508,1.67,1.554828,1.01,0.236,-0.3
1602,"문성주","LG",31,89,79,18,16,1,0,1,11,10,7,0,15,1,0.467,0.266,0.228,0.303,0.278,0.581,7.19,3.033281,6.23,0.28,-0.31
1322,"강로한","롯데",21,35,33,4,2,0,0,2,7,4,2,0,18,0,0.111,0.154,0.121,0.171,0.303,0.474,1.8,1.675862,0.18,0.209,-0.31
1821,"박민","KIA",18,38,35,6,5,1,0,0,3,3,2,0,10,0,0.2,0.24,0.171,0.237,0.2,0.437,1.43,1.245484,0.43,0.216,-0.32
918,"임지열","Hero",19,30,25,3,3,0,0,0,5,0,4,0,10,0,0.4,0.2,0.12,0.267,0.12,0.387,0.86,0.9675,0.5,0.221,-0.33
1678,"오선우","KIA",9,16,15,1,1,0,0,0,1,0,1,0,9,0,0.111,0.167,0.067,0.125,0.067,0.192,0.16,0.308571,-1.42,0.106,-0.33
